bname floors clsNo isUsing
教学楼一 6 1-101 0
教学楼一 6 1-102 0
教学楼一 6 1-103 0
教学楼一 6 1-104 0
教学楼一 6 1-105 0
教学楼一 6 1-106 0
教学楼一 6 1-107 0
教学楼一 6 1-108 0
教学楼一 6 1-109 0
教学楼一 6 1-110 0
教学楼一 6 1-111 0
教学楼一 6 1-112 0
教学楼一 6 1-201 0
教学楼一 6 1-202 0
教学楼一 6 1-203 0
教学楼一 6 1-204 0
教学楼一 6 1-205 0
教学楼一 6 1-206 0
教学楼一 6 1-207 0
教学楼一 6 1-208 0
教学楼一 6 1-209 0
教学楼一 6 1-210 0
教学楼一 6 1-211 0
教学楼一 6 1-212 0
教学楼一 6 1-301 0
教学楼一 6 1-302 0
教学楼一 6 1-303 0
教学楼一 6 1-304 0
教学楼一 6 1-305 0
教学楼一 6 1-306 0
教学楼一 6 1-307 0
教学楼一 6 1-308 0
教学楼一 6 1-309 0
教学楼一 6 1-310 0
教学楼一 6 1-311 0
教学楼一 6 1-312 0
教学楼一 6 1-401 0
教学楼一 6 1-402 0
教学楼一 6 1-403 0
教学楼一 6 1-404 0
教学楼一 6 1-405 0
教学楼一 6 1-406 0
教学楼一 6 1-407 0
教学楼一 6 1-408 0
教学楼一 6 1-409 0
教学楼一 6 1-410 0
教学楼一 6 1-411 0
教学楼一 6 1-412 0
教学楼一 6 1-501 0
教学楼一 6 1-502 0
教学楼一 6 1-503 0
教学楼一 6 1-504 0
教学楼一 6 1-505 0
教学楼一 6 1-506 0
教学楼一 6 1-507 0
教学楼一 6 1-508 0
教学楼一 6 1-509 0
教学楼一 6 1-510 0
教学楼一 6 1-511 0
教学楼一 6 1-512 0
教学楼一 6 1-601 0
教学楼一 6 1-602 0
教学楼一 6 1-603 0
教学楼一 6 1-604 0
教学楼一 6 1-605 0
教学楼一 6 1-606 0
教学楼一 6 1-607 0
教学楼一 6 1-608 0
教学楼一 6 1-609 0
教学楼一 6 1-610 0
教学楼一 6 1-611 0
教学楼一 6 1-612 0
教学楼二 7 2-101 0
教学楼二 7 2-102 0
教学楼二 7 2-103 0
教学楼二 7 2-104 0
教学楼二 7 2-105 0
教学楼二 7 2-106 0
教学楼二 7 2-107 0
教学楼二 7 2-108 0
教学楼二 7 2-109 0
教学楼二 7 2-110 0
教学楼二 7 2-111 0
教学楼二 7 2-112 0
教学楼二 7 2-201 0
教学楼二 7 2-202 0
