className collage grade major
2019智能系统1班 人工智能学院 2019 智能系统
2019智能系统2班 人工智能学院 2019 智能系统
2019智能系统3班 人工智能学院 2019 智能系统
2019机器学习与模式识别1班 人工智能学院 2019 机器学习与模式识别
2019机器学习与模式识别2班 人工智能学院 2019 机器学习与模式识别
2019机器学习与模式识别3班 人工智能学院 2019 机器学习与模式识别
2019深度学习应用1班 人工智能学院 2019 深度学习应用
2019深度学习应用2班 人工智能学院 2019 深度学习应用
2019深度学习应用3班 人工智能学院 2019 深度学习应用
2019自动驾驶技术1班 人工智能学院 2019 自动驾驶技术
2019自动驾驶技术2班 人工智能学院 2019 自动驾驶技术
2019自动驾驶技术3班 人工智能学院 2019 自动驾驶技术
2019计算机视觉1班 人工智能学院 2019 计算机视觉
2019计算机视觉2班 人工智能学院 2019 计算机视觉
2019计算机视觉3班 人工智能学院 2019 计算机视觉
2019人体科学1班 体育科学学院 2019 人体科学
2019人体科学2班 体育科学学院 2019 人体科学
2019人体科学3班 体育科学学院 2019 人体科学
2019体育教育1班 体育科学学院 2019 体育教育
2019体育教育2班 体育科学学院 2019 体育教育
2019体育教育3班 体育科学学院 2019 体育教育
2019健身体育1班 体育科学学院 2019 健身体育
2019健身体育2班 体育科学学院 2019 健身体育
2019健身体育3班 体育科学学院 2019 健身体育
2019水下运动专项1班 体育科学学院 2019 水下运动专项
2019水下运动专项2班 体育科学学院 2019 水下运动专项
2019水下运动专项3班 体育科学学院 2019 水下运动专项
2019篮球专项1班 体育科学学院 2019 篮球专项
2019篮球专项2班 体育科学学院 2019 篮球专项
2019篮球专项3班 体育科学学院 2019 篮球专项
2019运动康复1班 体育科学学院 2019 运动康复
2019运动康复2班 体育科学学院 2019 运动康复
2019运动康复3班 体育科学学院 2019 运动康复
2019基础化学1班 化学化工学院 2019 基础化学
2019基础化学2班 化学化工学院 2019 基础化学
2019基础化学3班 化学化工学院 2019 基础化学
2019应用化学1班 化学化工学院 2019 应用化学
2019应用化学2班 化学化工学院 2019 应用化学
2019应用化学3班 化学化工学院 2019 应用化学
2019基础数学1班 数学与统计学院 2019 基础数学
2019基础数学2班 数学与统计学院 2019 基础数学
2019基础数学3班 数学与统计学院 2019 基础数学
2019应用数学1班 数学与统计学院 2019 应用数学
2019应用数学2班 数学与统计学院 2019 应用数学
2019应用数学3班 数学与统计学院 2019 应用数学
2019管理与统计1班 数学与统计学院 2019 管理与统计
2019管理与统计2班 数学与统计学院 2019 管理与统计
2019管理与统计3班 数学与统计学院 2019 管理与统计
2019基础物理1班 物理科学学院 2019 基础物理
2019基础物理2班 物理科学学院 2019 基础物理
2019基础物理3班 物理科学学院 2019 基础物理
2019应用物理1班 物理科学学院 2019 应用物理
2019应用物理2班 物理科学学院 2019 应用物理
2019应用物理3班 物理科学学院 2019 应用物理
2019生物科学1班 生物与纳米科学学院 2019 生物科学
2019生物科学2班 生物与纳米科学学院 2019 生物科学
2019生物科学3班 生物与纳米科学学院 2019 生物科学
2019纳米科学1班 生物与纳米科学学院 2019 纳米科学
2019纳米科学2班 生物与纳米科学学院 2019 纳米科学
2019纳米科学3班 生物与纳米科学学院 2019 纳米科学
2019电气工程1班 电子电气工程学院 2019 电气工程
2019电气工程2班 电子电气工程学院 2019 电气工程
2019电气工程3班 电子电气工程学院 2019 电气工程
2019自动化控制工程1班 电子电气工程学院 2019 自动化控制工程
2019自动化控制工程2班 电子电气工程学院 2019 自动化控制工程
2019自动化控制工程3班 电子电气工程学院 2019 自动化控制工程
2019国画1班 美术与设计学院 2019 国画
2019国画2班 美术与设计学院 2019 国画
2019国画3班 美术与设计学院 2019 国画
2019平面设计艺术1班 美术与设计学院 2019 平面设计艺术
2019平面设计艺术2班 美术与设计学院 2019 平面设计艺术
2019平面设计艺术3班 美术与设计学院 2019 平面设计艺术
2019服装设计1班 美术与设计学院 2019 服装设计
2019服装设计2班 美术与设计学院 2019 服装设计
2019服装设计3班 美术与设计学院 2019 服装设计
2019油画学1班 美术与设计学院 2019 油画学
2019油画学2班 美术与设计学院 2019 油画学
2019油画学3班 美术与设计学院 2019 油画学
2019发动机制造1班 航空航天工程学院 2019 发动机制造
2019发动机制造2班 航空航天工程学院 2019 发动机制造
2019发动机制造3班 航空航天工程学院 2019 发动机制造
2019飞行器智能运控1班 航空航天工程学院 2019 飞行器智能运控
2019飞行器智能运控2班 航空航天工程学院 2019 飞行器智能运控
2019飞行器智能运控3班 航空航天工程学院 2019 飞行器智能运控
2019飞行器设计1班 航空航天工程学院 2019 飞行器设计
2019飞行器设计2班 航空航天工程学院 2019 飞行器设计
2019飞行器设计3班 航空航天工程学院 2019 飞行器设计
2019人工智能1班 计算机科学与技术学院 2019 人工智能
