cname collage studygrade
机器学习基础 人工智能学院 2022
深度学习基础 人工智能学院 2022
Python应用基础 人工智能学院 2022
C++应用基础 人工智能学院 2022
C++进阶应用 人工智能学院 2021
Python进阶应用 人工智能学院 2021
深度学习框架应用 人工智能学院 2022
大学英语 人工智能学院 2022
高等数学 人工智能学院 2021
线性代数 人工智能学院 2020
概率论 人工智能学院 2020
体育基础 体育科学学院 2022
运动技巧 体育科学学院 2022
生物学基础 生物与纳米科学学院 2022
自然科学基础 生物与纳米科学学院 2022
化学基础 化学化工学院 2022
化学应用前沿 化学化工学院 2022
python基础 化学化工学院 2021
大学物理 物理科学学院 2022
高等数学 物理科学学院 2022
物理前沿应用 物理科学学院 2021
基础数学 数学与统计学院 2022
数论 数学与统计学院 2021
数学分析 数学与统计学院 2020
高等数学 电子电气工程学院 2022
电路原理 电子电气工程学院 2022
信号与系统 电子电气工程学院2021
审美艺术 美术与设计学院 2021
绘画基础 美术与设计学院 2022
自动控制原理 航空航天工程学院 2021
高等数学 航空航天工程学院 2022
线性代数 航空航天工程学院 2022
概率论 航空航天工程学院 2021
电路原理 航空航天工程学院 2021
信号与系统 航空航天工程学院 2020
高等数学 计算机科学与技术学院 2022
线性代数 计算机科学与技术学院 2021
概率论 计算机科学与技术学院 2021
C/C++程序设计 计算机科学与技术学院 2022
Python程序设计 计算机科学与技术学院 2021
Java程序设计 计算机科学与技术学院 2021
乐理基础 音乐与舞蹈学院 2022
和弦理论 音乐与舞蹈学院 2021
毕业表演 音乐与舞蹈学院 2019
体能训练 体育科学学院 2022
道德与法治 体育科学学院 2021
毕业设计 体育科学学院 2019
毕业设计 计算机科学与技术学院 2019
毕业设计 化学化工学院 2019
毕业设计 物理科学学院 2019
毕业设计 数学与统计学院 2019
毕业设计 电子电气工程学院 2019
毕业展示 美术与设计学院 2019
毕业设计 航空航天工程学院 2019
毕业设计 生物与纳米科学学院 2019
毕业设计 人工智能学院 2019
马克思主义基本原理 计算机科学与技术学院 2021
马克思主义基本原理 音乐与舞蹈学院 2021
马克思主义基本原理 化学化工学院 2021
马克思主义基本原理 物理科学学院 2021
马克思主义基本原理 数学与统计学院 2021
马克思主义基本原理 电子电气工程学院 2021
马克思主义基本原理 美术与设计学院 2021
马克思主义基本原理 航空航天工程学院 2021
马克思主义基本原理 计算机科学与技术学院 2021
马克思主义基本原理 音乐与舞蹈学院 2021
马克思主义基本原理 体育科学学院 2021
