majorName collage
机器学习与模式识别 人工智能学院
计算机视觉 人工智能学院
深度学习应用 人工智能学院
自动驾驶技术 人工智能学院
智能系统 人工智能学院
体育教育 体育科学学院
篮球专项 体育科学学院
水下运动专项 体育科学学院
人体科学 体育科学学院
运动康复 体育科学学院
健身体育 体育科学学院
纳米科学 生物与纳米科学学院
生物科学 生物与纳米科学学院
基础化学 化学化工学院
应用化学 化学化工学院
基础物理 物理科学学院
应用物理 物理科学学院
基础数学 数学与统计学院
应用数学 数学与统计学院
管理与统计 数学与统计学院
电气工程 电子电气工程学院
自动化控制工程 电子电气工程学院
油画学 美术与设计学院
服装设计 美术与设计学院
平面设计艺术 美术与设计学院
国画 美术与设计学院
飞行器设计 航空航天工程学院
发动机制造 航空航天工程学院
飞行器智能运控 航空航天工程学院
软件工程 计算机科学与技术学院
计算机科学与技术 计算机科学与技术学院
大数据分析应用 计算机科学与技术学院
人工智能 计算机科学与技术学院
舞蹈艺术 音乐与舞蹈学院
钢琴艺术 音乐与舞蹈学院
音乐教育 音乐与舞蹈学院
舞蹈教育 音乐与舞蹈学院
体操学 音乐与舞蹈学院
歌唱学 音乐与舞蹈学院
