grade major tno classname
2022 音乐教育 55000001 2022音乐教育3班
2022 音乐教育 55000002 2022音乐教育2班
2022 音乐教育 55000003 2022音乐教育1班
2022 钢琴艺术 55000004 2022钢琴艺术3班
2022 钢琴艺术 55000005 2022钢琴艺术2班
2022 钢琴艺术 55000006 2022钢琴艺术1班
2022 舞蹈艺术 55000007 2022舞蹈艺术3班
2022 舞蹈艺术 55000008 2022舞蹈艺术2班
2022 舞蹈艺术 55000009 2022舞蹈艺术1班
2022 舞蹈教育 55000010 2022舞蹈教育3班
2022 舞蹈教育 55000011 2022舞蹈教育2班
2022 舞蹈教育 55000012 2022舞蹈教育1班
2022 歌唱学 55000013 2022歌唱学3班
2022 歌唱学 55000014 2022歌唱学2班
2022 歌唱学 55000015 2022歌唱学1班
2022 体操学 55000016 2022体操学3班
2022 体操学 55000017 2022体操学2班
2022 体操学 55000018 2022体操学1班
2022 软件工程 55000019 2022软件工程3班
2022 软件工程 55000020 2022软件工程2班
2022 软件工程 55000021 2022软件工程1班
2022 计算机科学与技术 55000022 2022计算机科学与技术3班
2022 计算机科学与技术 55000023 2022计算机科学与技术2班
2022 计算机科学与技术 55000024 2022计算机科学与技术1班
2022 大数据分析应用 55000025 2022大数据分析应用3班
2022 大数据分析应用 55000026 2022大数据分析应用2班
2022 大数据分析应用 55000027 2022大数据分析应用1班
2022 人工智能 55000028 2022人工智能3班
2022 人工智能 55000029 2022人工智能2班
2022 人工智能 55000030 2022人工智能1班
2022 飞行器设计 55000031 2022飞行器设计3班
2022 飞行器设计 55000032 2022飞行器设计2班
2022 飞行器设计 55000033 2022飞行器设计1班
2022 飞行器智能运控 55000034 2022飞行器智能运控3班
2022 飞行器智能运控 55000035 2022飞行器智能运控2班
2022 飞行器智能运控 55000036 2022飞行器智能运控1班
2022 发动机制造 55000037 2022发动机制造3班
2022 发动机制造 55000038 2022发动机制造2班
2022 发动机制造 55000039 2022发动机制造1班
2022 油画学 55000040 2022油画学3班
2022 油画学 55000041 2022油画学2班
2022 油画学 55000042 2022油画学1班
2022 服装设计 55000043 2022服装设计3班
2022 服装设计 55000044 2022服装设计2班
2022 服装设计 55000045 2022服装设计1班
2022 平面设计艺术 55000046 2022平面设计艺术3班
2022 平面设计艺术 55000047 2022平面设计艺术2班
2022 平面设计艺术 55000048 2022平面设计艺术1班
2022 国画 55000049 2022国画3班
2022 国画 55000050 2022国画2班
2022 国画 55000051 2022国画1班
2022 自动化控制工程 55000052 2022自动化控制工程3班
2022 自动化控制工程 55000053 2022自动化控制工程2班
